Stand ID,Run No.,Date,Company,Device,Membrane,Lot #,CWP,Pressure,Solution,Comments,LC Cal Fact.
_Stand 2,Run 2,5/9/2022,Takeda,Optiscael,Milligard045,,0.000000,,LV,Milligard045 - Clarisolve60HX,595.4660
time (min),vol (mL),pressure 1(psi),pressure 2 (psi),Notes
0.00,1.87,0.00,0.00,""
0.50,20.88,0.00,0.00,""
1.00,25.52,0.00,0.00,""
1.50,29.08,0.00,0.00,""
2.00,30.78,0.00,0.00,""
2.50,32.47,0.00,0.00,""
3.00,33.56,0.00,0.00,""
3.50,35.72,0.00,0.00,""
4.00,37.03,0.00,0.00,""
4.50,36.85,0.00,0.00,""
5.00,37.91,0.00,0.00,""
5.50,37.74,0.00,0.00,""
Predicted trial Vmax is 42.929180
