Stand ID,Run No.,Date,Company,Device,Membrane,Lot #,CWP,Pressure,Solution,Comments,LC Cal Fact.
_Stand 3,Run 3,5/9/2022,PharmaCompany,Optiscael,Milligard08,,0.000000,,LV,Milligard08 - MillistakCE15,77.0400
time (min),vol (mL),pressure 1(psi),pressure 2 (psi),Notes
0.00,0.18,0.00,0.00,""
0.50,27.50,0.00,0.00,""
1.00,37.71,0.00,0.00,""
1.50,43.57,0.00,0.00,""
2.00,47.04,0.00,0.00,""
2.50,50.07,0.00,0.00,""
3.00,52.25,0.00,0.00,""
3.50,53.89,0.00,0.00,""
4.00,55.64,0.00,0.00,""
4.50,56.81,0.00,0.00,""
5.00,58.00,0.00,0.00,""
5.50,58.98,0.00,0.00,""
6.00,59.88,0.00,0.00,""
6.50,60.64,0.00,0.00,""
7.00,61.36,0.00,0.00,""
Predicted trial Vmax is 68.363725
