Stand ID,Run No.,Date,Company,Device,Membrane,Lot #,CWP,Pressure,Solution,Comments,LC Cal Fact.
_Stand 3,Run 8,5/9/2022,PharmaCompany,OptiScale 25,MPES 1.2+0.8,,0.000000,,LV,from MillistakCE40,77.0400
time (min),vol (mL),pressure 1(psi),pressure 2 (psi),Notes
0.00,0.88,0.00,0.00,""
0.50,31.88,0.00,0.00,""
1.00,41.52,0.00,0.00,""
1.50,47.24,0.00,0.00,""
2.00,50.84,0.00,0.00,""
2.50,53.65,0.00,0.00,""
3.00,55.97,0.00,0.00,""
3.50,57.78,0.00,0.00,""
4.00,59.48,0.00,0.00,""
4.50,60.74,0.00,0.00,""
5.00,61.87,0.00,0.00,""
5.50,63.15,0.00,0.00,""
6.00,64.10,0.00,0.00,""
6.50,64.94,0.00,0.00,""
7.00,65.48,0.00,0.00,""
7.50,66.61,0.00,0.00,""
8.00,-466.48,0.00,0.00,""
8.50,-467.35,0.00,0.00,""
9.00,-467.35,0.00,0.00,""
Predicted trial Vmax is 2207.636517
